GPU Memory Track | 06-Jun-22-15:40:23 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 76: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

+ | 1 * Size:(450, 40)            | Memory: 0.0686 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 2 * Size:(925,)               | Memory: 0.0141 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1521, 6)            | Memory: 0.0696 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(716, 521)           | Memory: 1.4230 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(925, 3)             | Memory: 0.0211 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(494,)               | Memory: 0.0037 M | <class 'torch.Tensor'> | torch.int64
- | 19 * Size:(2775,)              | Memory: 0.4022 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(494, 932)           | Memory: 1.7563 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(925, 932)           | Memory: 131.54 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(716, 6)             | Memory: 0.0327 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(9126,)              | Memory: 0.1392 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(925, 450)           | Memory: 127.02 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1521, 82)           | Memory: 0.4757 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(925, 482)           | Memory: 3.4015 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(925, 3, 450)        | Memory: 185.78 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1976,)              | Memory: 0.0150 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(4296,)              | Memory: 0.0327 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(494, 450)           | Memory: 0.8480 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(494, 4)             | Memory: 0.0150 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(1521, 450)          | Memory: 5.2219 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 20 * Size:(2775, 450)          | Memory: 95.272 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(811, 3, 450)        | Memory: 162.88 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(2433, 450)          | Memory: 83.530 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(437,)               | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(437, 4)             | Memory: 0.0133 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(811, 1)             | Memory: 0.0030 M | <class 'torch.Tensor'> | torch.float32
+ | 19 * Size:(2433,)              | Memory: 0.3526 M | <class 'torch.Tensor'> | torch.int64
+ | 40 * Size:(811, 932)           | Memory: 115.33 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(811, 450)           | Memory: 111.37 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(437, 932)           | Memory: 1.5536 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1748,)              | Memory: 0.0133 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(811, 3)             | Memory: 0.0185 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(811,)               | Memory: 0.0123 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(437, 450)           | Memory: 0.7501 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(811, 482)           | Memory: 2.9823 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:569.2  Mb Total Allocated Memory:501.7  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:569.2  Mb Total Allocated Memory:501.7  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(736, 521)           | Memory: 1.4627 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1599, 450)          | Memory: 5.4897 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1599, 6)            | Memory: 0.0731 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(9594,)              | Memory: 0.1463 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4416,)              | Memory: 0.0336 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1599, 82)           | Memory: 0.5001 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(736, 6)             | Memory: 0.0336 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:577.0  Mb Total Allocated Memory:520.5  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 19 * Size:(2433,)              | Memory: 0.3526 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(437, 932)           | Memory: 1.5536 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(811, 450)           | Memory: 111.37 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(811, 932)           | Memory: 115.33 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1748,)              | Memory: 0.0133 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1599, 82)           | Memory: 0.5001 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(736, 6)             | Memory: 0.0336 M | <class 'torch.Tensor'> | torch.int64
- | 39 * Size:(811, 3, 450)        | Memory: 162.88 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1599, 450)          | Memory: 5.4897 M | <class 'torch.Tensor'> | torch.float32
- | 20 * Size:(2433, 450)          | Memory: 83.530 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1599, 6)            | Memory: 0.0731 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(9594,)              | Memory: 0.1463 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(811, 1)             | Memory: 0.0030 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(811, 3)             | Memory: 0.0185 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(811, 482)           | Memory: 2.9823 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(736, 521)           | Memory: 1.4627 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(437, 4)             | Memory: 0.0133 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(811,)               | Memory: 0.0123 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(437,)               | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(437, 450)           | Memory: 0.7501 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(4416,)              | Memory: 0.0336 M | <class 'torch.Tensor'> | torch.int64

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(859, 932)           | Memory: 122.16 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(461, 932)           | Memory: 1.6389 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(461, 450)           | Memory: 0.7913 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(461,)               | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(859, 1)             | Memory: 0.0032 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(461, 6)             | Memory: 0.0211 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(859, 482)           | Memory: 3.1588 M | <class 'torch.Tensor'> | torch.float32
+ | 92 * Size:(859, 450)           | Memory: 135.66 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 20 * Size:(4295, 450)          | Memory: 147.45 M | <class 'torch.Tensor'> | torch.float32
+ | 92 * Size:(859, 450)           | Memory: 135.66 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(859, 5, 450)        | Memory: 287.54 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(859,)               | Memory: 0.0131 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 19 * Size:(4295,)              | Memory: 0.6225 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(859, 5)             | Memory: 0.0327 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2766,)              | Memory: 0.0211 M | <class 'torch.Tensor'> | torch.int64
- | 12 * Size:(859, 450)           | Memory: 17.694 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 12 * Size:(859, 450)           | Memory: 17.694 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:771.8  Mb Total Allocated Memory:649.7  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:771.8  Mb Total Allocated Memory:649.7  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 2 * Size:(1585, 450)          | Memory: 5.4416 M | <class 'torch.Tensor'> | torch.float32
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(740, 6)             | Memory: 0.0338 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1585, 82)           | Memory: 0.4957 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(9510,)              | Memory: 0.1451 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(740, 521)           | Memory: 1.4707 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4440,)              | Memory: 0.0338 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1585, 6)            | Memory: 0.0725 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:779.6  Mb Total Allocated Memory:667.3  Mb

+ | 12 * Size:(859, 450)           | Memory: 17.694 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 12 * Size:(859, 450)           | Memory: 17.694 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(461, 450)           | Memory: 0.7913 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(461,)               | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(859, 482)           | Memory: 3.1588 M | <class 'torch.Tensor'> | torch.float32
- | 92 * Size:(859, 450)           | Memory: 135.66 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 20 * Size:(4295, 450)          | Memory: 147.45 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(9510,)              | Memory: 0.1451 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1585, 6)            | Memory: 0.0725 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(2766,)              | Memory: 0.0211 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(1585, 450)          | Memory: 5.4416 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(859, 932)           | Memory: 122.16 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(859, 1)             | Memory: 0.0032 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 92 * Size:(859, 450)           | Memory: 135.66 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(740, 6)             | Memory: 0.0338 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1585, 82)           | Memory: 0.4957 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(740, 521)           | Memory: 1.4707 M | <class 'torch.Tensor'> | torch.float32
- | 19 * Size:(4295,)              | Memory: 0.6225 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(859, 5)             | Memory: 0.0327 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(461, 932)           | Memory: 1.6389 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(859, 5, 450)        | Memory: 287.54 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(859,)               | Memory: 0.0131 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(4440,)              | Memory: 0.0338 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(461, 6)             | Memory: 0.0211 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(2499, 450)          | Memory: 85.796 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(448,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(448, 450)           | Memory: 0.7690 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1792,)              | Memory: 0.0136 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(833,)               | Memory: 0.0127 M | <class 'torch.Tensor'> | torch.int64
+ | 40 * Size:(833, 932)           | Memory: 118.46 M | <class 'torch.Tensor'> | torch.float32
+ | 19 * Size:(2499,)              | Memory: 0.3622 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(833, 450)           | Memory: 114.39 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(833, 3)             | Memory: 0.0190 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(448, 4)             | Memory: 0.0136 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 39 * Size:(833, 3, 450)        | Memory: 167.30 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(833, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(833, 482)           | Memory: 3.0632 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(448, 932)           | Memory: 1.5927 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:582.1  Mb Total Allocated Memory:505.9  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:582.1  Mb Total Allocated Memory:505.9  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 2 * Size:(9138,)              | Memory: 0.1394 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1523, 82)           | Memory: 0.4764 M | <class 'torch.Tensor'> | torch.float32
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1523, 450)          | Memory: 5.2288 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1523, 6)            | Memory: 0.0697 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(4266,)              | Memory: 0.0325 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(711, 521)           | Memory: 1.4130 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(711, 6)             | Memory: 0.0325 M | <class 'torch.Tensor'> | torch.int64
